state,state_abbrev,patient_discharge_categories,total_pop_priv_insured,his_private_insurance_discharges,percent_discharges_priv_of_ins_pop,percent_discharges_private,state_pop_numbers,total_number_discharges,percent_discharges,discharges_antpostfusion_453-455,discharges_backneck_518-520,discharges_bariatric_619-621,discharges_bilateral_major_lower_extremity_461-462,discharges_hand_wrist_513-514,discharges_hip_femur_not_joint_480-482,discharges_hip_knee_replace_469-470,discharges_hip_knee_revise_466-468,discharges_upper_joint_limb_reattach_483-484,discharges_knee_other_485-489,discharges_lower_extremity_humer_492-494,discharges_other_musc_515-517,discharges_shoulder_elbow_forearm_510-512,discharges_major_joint_shoulder_elbow_507-508,discharges_spinal_fusion_curve_malig_infect_456-458,discharges_spinal_fusion_except_cervical_459-460,discharges_spinal_neuro_28-30,discharges_coronary_bypass_234-236,discharges_cervical_spinal_fusion_471-473
Michigan,MI,Male,5733000,370915,6.470,30.59,2988000,518575,42.77016567,255,811,1548,369,233,2692,17650,1460,1504,783,2804,902,359,57,394,4347,594,2434,3365
Michigan,MI,Female,5733000,370915,6.470,30.59,3168035,693806,57.22257641,300,587,5306,412,132,5280,27002,2142,2114,741,3539,1269,503,50,703,5480,557,676,3333
Minnesota,MN,18-44,3485600,240937,6.912,41.05,1924876,151176,25.75725049,224,148,1094,13,117,310,608,87,38,213,810,203,107,26,52,410,215,22,517
Minnesota,MN,45-64,3485600,240937,6.912,41.05,1470329,136106,23.18963549,560,344,1021,342,75,620,10587,984,715,313,1228,278,202,55,118,1487,253,531,1438
Minnesota,MN,Male,3485600,240937,6.912,41.05,1672725,252630,43.0429049,480,500,501,273,180,1542,10616,1072,1081,469,1519,490,243,57,174,1417,478,987,1279
Minnesota,MN,Female,3485600,240937,6.912,41.05,1722480,334268,56.95232448,651,355,1746,309,75,2903,15690,1339,1453,422,1913,499,353,52,311,1940,411,226,1265
Missouri,MO,18-44,3569100,229443,6.429,27.8,2127936,203069,24.60437373,122,102,1146,16,117,480,698,105,57,204,1077,198,140,15,80,760,304,69,461
Missouri,MO,45-64,3569100,229443,6.429,27.8,1610815,210869,25.54944223,355,226,1348,349,73,902,10948,959,781,394,1475,335,197,25,168,2608,298,1192,1556
Missouri,MO,Male,3569100,229443,6.429,27.8,1810102,358539,43.44152752,352,351,602,298,176,2288,10770,999,1113,535,1822,663,298,43,265,2579,591,1966,1519
Missouri,MO,Female,3569100,229443,6.429,27.8,1928649,466774,56.55556458,435,257,2209,317,65,4162,16410,1267,1545,520,2393,839,415,24,526,3105,580,651,1506
Nebraska,NE,18-44,1127100,91871,8.151,45.87,670017,51264,25.5941207,27,23,346,0,30,77,199,21,0,26,226,44,36,0,0,171,50,20,121
Nebraska,NE,45-64,1127100,91871,8.151,45.87,473888,43404,21.66992851,47,48,368,108,27,192,3098,249,144,78,321,85,38,17,17,405,52,350,343
Nebraska,NE,Male,1127100,91871,8.151,45.87,564499,83427,41.65185525,59,88,164,79,51,563,3177,268,238,101,450,172,58,0,24,397,111,617,346
Nebraska,NE,Female,1127100,91871,8.151,45.87,579406,116822,58.32467947,59,74,632,112,19,1041,4967,427,387,112,534,244,83,0,49,606,97,180,336
Nevada,NV,18-44,1465800,90768,6.192,32.06,1044621,72500,25.60462225,130,60,591,0,61,140,174,28,0,57,365,58,67,0,15,397,93,16,376
Nevada,NV,45-64,1465800,90768,6.192,32.06,729406,71616,25.29242244,370,180,672,29,42,349,2692,344,151,132,485,91,73,0,73,1169,146,332,1170
Nevada,NV,Male,1465800,90768,6.192,32.06,886937,122863,43.39118212,311,215,325,18,98,718,2943,375,251,186,670,182,121,14,68,1240,181,587,968
Nevada,NV,Female,1465800,90768,6.192,32.06,887090,160234,56.58939368,367,178,1052,21,32,1265,4313,543,306,133,686,204,129,0,123,1356,152,155,1114
New Jersey,NJ,18-44,5259100,360489,6.855,36.71,3119191,237438,24.17892391,130,143,4185,15,186,289,419,41,31,160,1221,203,202,22,47,863,154,48,605
New Jersey,NJ,45-64,5259100,360489,6.855,36.71,2493400,235742,24.00621586,336,328,3691,552,135,720,8329,769,315,331,1760,244,314,36,101,2065,262,1042,1785
New Jersey,NJ,Male,5259100,360489,6.855,36.71,2702351,422452,43.0193767,320,458,2044,478,283,1971,8839,848,441,464,2123,436,402,53,124,2068,363,1888,1479
New Jersey,NJ,Female,5259100,360489,6.855,36.71,2910240,559530,56.97838298,287,319,6275,665,128,4358,14288,1131,736,392,2739,423,542,42,267,2068,323,491,1516
New Mexico,NM,18-44,846500,42153,4.980,22.52,731313,51158,27.3358768,0,18,56,0,41,104,104,16,0,53,316,36,47,0,0,102,30,0,52
New Mexico,NM,45-64,846500,42153,4.980,22.52,533455,41826,22.34939566,29,46,75,122,29,240,2126,128,126,70,327,50,52,0,19,382,47,138,215
